ID|Text
CHAT_ALREADY_SCHEDULED|您已经有一条待发送短消息！
CHAT_CANCELLED|短消息取消.
CHAT_MSG_FORM|短消息来自 %1:<br/><br/>%2
CHAT_SENT|短消息已发出.
CHAT_TRY_AGAIN|重试?
CHECK_CHAT_DATE|您的短消息将发送至\n%1.\n是否正确?
CHOOSE_PASSWORD|%1, 请输入密码:
CONFIRM_PASSWORD|请再次输入密码:
CONFIRM_SETTINGS|%1的设定已经更改.\n\n点击OK作为 %2 开始游戏.
CONTACT_MARKER|%1 在 %2
CONTACTS_REPORTED|新的信号接触:
DETECTED_MARKER|%1 被 %2 探测到
EIGHTH|第8顺位
END_OF_SCENARIO_HEADER|剧本结束
END_OF_SCENARIO_MESSAGE|选择 <b>文件 -> 另存为...</b>, 保存游戏, 并将保存文件发给另一方玩家.<br/><br/>
END_OF_SCENARIO_SUMMARY|剧本结束 (第 %1 回合)
END_OF_SETUP_HEADER| %1 的设置阶段结束
END_OF_TURN_HEADER|第 %1 回合结束 %2
END_OF_TURN_MESSAGE|打开<b>文件 -> 另存为...</b>, 保存当前剧本, 并将文件发送给玩家 <b>%1</b> .<br/><br/><u>重要提示:</u> 请 <b>不要</b> 在保存之前关闭窗口或运行游戏, 否则以前得重新来过.
ENTER_CHAT|向 %1 发送短消息 (最多 280 个字符):
ENTER_PASSWORD|%1, 请输入密码进行第 %2 回合:
FIFTH|第5顺位
FINAL_ORDER_HEADER|%1 回合 %2<br/><br/>指令阶段 %4
FINAL_ORDER_MESSAGE|你的回合快要结束了. 请向你的单位下达最后的命令. 当布置完成时,点击 <b>运行时间</b>结束当前回合.
FIRST|第1顺位
FORMAT_INCORRECT|时间格式错误. 请重试?
FOURTH|第4顺位
GAME_START|你现在将进行剧本 %1的对战.\n\n是否需要使用默认设置?
KILL_LISTING|为 %1
KILL_MARKER|%1 被击杀
KILLS_REPORTED|击杀:
LOSS_LISTING|达到 %1
LOSS_MARKER|%1的损失
LOSSES_REPORTED|损失:
MESSAGES_RECEIVED|您有一条新消息:
MIN_INCORRECT|分的数值应当在 00 到 59之前. 请重试?
NEXT_ORDER_HEADER|%1 回合 %2<br/>(剩余 %3 分钟 )<br/><br/>指令阶段 %4
NINTH|第9顺位
NO|否
NO_EDITOR_MODE|再游戏结束前你无法打开编辑器.\n\n请使用主菜单的 开始新游戏 或者 读取存档.
NO_SIDE_FOUND|%1 不是某个阵营!
ORDER_PHASE_DIVIDER|%2 分之 %1 
PASSWORDS_DIDNT_MATCH|密码不匹配! 请再次输入密码:
RECOMMENDED|推荐: %1
RESUME_ORDER_MESSAGE|当前阶段已经完成了下达指令. 点击<b>开始运行</b> 继续游戏.
SCHEDULE_CHAT|从现在开始计算多久之后发送消息？\n格式: hh:mm:ss
SEC_INCORRECT|秒的数值应当介于 00 到 59 之间. 请重试?
SECOND|第2顺位
SEND_CHAT|向哪一方发送消息?\n\n选项: %1
SETUP_PHASE_INTRO|现在是 %1 阵营的设置阶段.\n\n在完成设置挂载和任务之前请务必让游戏保持暂停状态.\n\n当完成布置,请点击Play结束此阶段.
SEVENTH|第7顺位
SHOW_REMAINING_SETUP|现在是布置阶段.
SHOW_REMAINING_TIME|回合剩余时间: %1:%2:%3.
SIXTH|第6顺位
SPEC_SCHEDMSG_DESC|向其他玩家发送短消息, 并按照预定时间送达. 请注意信息长度最多为280个字符且HTML标签将会被移除, 并且只能一次预定一条消息的发送时间.
SPEC_SCHEDMSG_NAME|(邮件对战) 预订向其他玩家发送短消息
SPEC_SENDMSG_DESC|向其他玩家发送的短消息将会在他们开启回合时显示. 请注意信息长度最多为280个字符且HTML标签将会被移除.
SPEC_SENDMSG_NAME|(邮件对战) 向其他玩家发送短消息
SPEC_SHOWTIME_DESC|在邮件对战的回合结束前,显示剩余时间.
SPEC_SHOWTIME_NAME|(邮件对战) 显示回合剩余时间
START_OF_TURN_HEADER|%1 回合 %2<br/>(%3 分钟)
START_ORDER_HEADER|%1 回合 %2<br/>(%3 分钟)<br/><br/>命令阶段 %4
START_ORDER_MESSAGE|请根据需求发布命令. 当命令设置完成后再点击<b>运行时间</b> .
THIRD|第3顺位
