ID|Text
CHANGE_POSTURE|Changez votre posture vis-à-vis de quel camp ?\n\nOptions: %1
CHAT_ALREADY_SCHEDULED|Vous avez déjà préparé un message à envoyer!
CHAT_CANCELLED|Message annulé.
CHAT_MSG_FORM|Message de %1:<br/><br/>%2
CHAT_SENT|Message envoyé.
CHAT_TRY_AGAIN|Essayer à nouveau?
CHECK_CHAT_DATE|Votre message sera envoyé à\n%1.\nIs Est-ce correct?
CHOOSE_PASSWORD|%1, merci de choisir un mot de passe:
CONFIRM_PASSWORD|Confirmez votre mot de passe:
CONFIRM_SETTINGS|La configuration pour %1 a été changée.\n\nCliquez sur OK pour démarrer le jeu en tant que %2.
CONTACT_MARKER|%1 à %2
CONTACTS_REPORTED|Nouveaux contacts:
DETECTED_MARKER|%1 détecté par %2
EIGHTH|HUITIÈME
END_OF_SCENARIO_HEADER|Fin du scénario
END_OF_SCENARIO_MESSAGE|Faites <b>File -> Save As...</b>, sauvegardez le jeu, et envoyez le fichier à l'autre joueur par email ou par tout autre service de transfert de fichier.<br/><br/>
END_OF_SCENARIO_SUMMARY|Fin du scenario (Tour %1)
END_OF_SETUP_HEADER|Fin de la phase de setup pour %1
END_OF_TURN_HEADER|Fin du tour %2 pour %1 
END_OF_TURN_MESSAGE|Allez dans <b>File -> Save As…</b>, sauvegardez ce jeu et envoyez le fichier au joueur <b>%1</b> par email ou par tout autre service de transfert de fichier.<br/><br/><u>IMPORTANT:</u> Ne <b>PAS</b> fermer cette fenêtre ni relancer le jeu avant d’avoir sauvegardé ou vous serez obligé de rejouer votre tour !
ENTER_CHAT|Entrez un message pour %1 (max 280 caractères):
ENTER_PASSWORD|%1, entrez votre mot de passe pour démarrer le tour %2:
FIFTH|CINQUIÈME
FINAL_ORDER_HEADER|%1 tour %2<br/><br/>Phase d'ordres %4
FINAL_ORDER_MESSAGE|Votre tour est presque terminé. Donnez les derniers ordres à vos unités. Quand vous êtes prêt <b>lancez le jeu</b> pour terminer votre tour.
FIRST|PREMIER
FORMAT_INCORRECT|Format de temps incorrect. Ré-essayer ?
FOURTH|QUATRIÈME
GAME_START|Vous démarrez un jeu en PBEM avec %1.\n\nVoulez-vous utiliser les réglages recommandés?
KILL_LISTING|avec %1
KILL_MARKER|%1 détruit
KILLS_REPORTED|Ennemis détruits:
LOSS_LISTING|par %1
LOSS_MARKER|Perte de %1
LOSSES_REPORTED|Pertes:
MESSAGES_RECEIVED|Messages reçus:
MIN_INCORRECT|Les minutes doivent être un nombre entre 00 et 59. Réessayer ?
NEXT_ORDER_HEADER|%1 tour %2<br/>(%3 minutes restantes)<br/><br/>Phase d'ordres %4
NINTH|NEUVIÈME
NO|Non
NO_EDITOR_MODE|Vous ne pouvez pas ouvrir une partie PBEM en mode éditeur avant la fin du scénario.\n\nJouez ce scenario avec le boutton « Start New Game » ou « Load Saved Game » dans le menu principal.
NO_POSTURE_FOUND|%1 n'est pas une posture!
NO_SIDE_FOUND|%1 n'est pas un camp!
ORDER_PHASE_DIVIDER|%1 sur %2
PASSWORDS_DIDNT_MATCH|Le mot de passe ne correspond pas! Entrez à nouveau votre mot de passe:
POSTURE_IS_SET|Votre posture vis-à-vis de %1 est maintenant %2.
RECOMMENDED|Recommandé: %1
RESUME_ORDER_MESSAGE|Vous avez déjà donné vos ordres pour cette phase. <b>Lancez le jeu</b> pour en continuer l'execution.
SCHEDULE_CHAT|Dans combien de temps le message devra-t-il être envoyé?\nFORMAT: hh:mm:ss
SEC_INCORRECT|Les secondes doivent être un nombre entre 00 and 59. Ré-essayer?
SECOND|DEUXIÈME
SEND_CHAT|Envoyer le message à quel camp?\n\nOptions: %1
SET_POSTURE|Votre posture vis-à-vis de %1 est %2. Quelle sera votre nouvelle posture?\n\nOptions: AMICAL, NEUTRE, INAMICAL, HOSTILE
SETUP_PHASE_INTRO|Ceci est la phase de setup de %1.\n\nLaissez le jeu en pause jusqu'à ce que vous ayez terminé de choisir votre armement (loadouts) et configuré vos missions.\n\nQuand vous aurez terminé, cliquez sur « Play » pour finir votre tour.
SEVENTH|SEPTIÈME
SHOW_REMAINING_SETUP|Ceci est la phase de setup.
SHOW_REMAINING_TIME|Temps restant dans votre tour: %1:%2:%3.
SIXTH|SIXIÈME
SPEC_CHANGEPOST_DESC|Changez votre posture vis-à-vis d'un camp. Ceci est utile si vous avez accidentellement attaqué des civils et ne voulez plus qu'ils soient déclarés comme hostile.
SPEC_CHANGEPOST_NAME|(PBEM) Changer de posture vis-à-vis d'un camp
SPEC_SCHEDMSG_DESC|Envoie un message à un autre joueur qui sera délivreré à une heure pré-établie. Notez que la longueur maximale du message est de 280 caractères, que les tags HTML seront supprimés, et que vous ne pouvez préparer qu'un seul message à envoyer à la fois.
SPEC_SCHEDMSG_NAME|(PBEM) Préparer un message pour un autre joueur
SPEC_SENDMSG_DESC|Envoie un message à un autre joueur. Il sera délivré au début du prochain tour. Notez que la longueur maximale du message est de 280 caractères et que les tags HTML seront supprimés.
SPEC_SENDMSG_NAME|(PBEM) Envoyer un message à un autre joueur
SPEC_SHOWTIME_DESC|Affiche le temps restant avant la fin de votre tour de PBEM. 
SPEC_SHOWTIME_NAME|(PBEM) Affiche le temps restant dans le tour
START_OF_TURN_HEADER|%1 tour %2<br/>(%3 minutes)
START_ORDER_HEADER|%1 tour %2<br/>(%3 minutes)<br/><br/>Phase d'ordres %4
START_ORDER_MESSAGE|Donnez vos ordres à vos unités. Quand vous aurez terminé, <b>lancez le jeu</b> pour les exécuter.
THIRD|TROISIÈME
VERSION_MISMATCH|ERREUR: Vous utilisez CMO build %1, mais ce scénario PBEM à été créé avec %2. Tous les joueurs doivent avoir la même version
VERSION_TOO_OLD|Votre version de CMO (%1) est ancienne. Merci d'installer la version %2 ou une version plus récente pour jouer ce scénario en PBEM.
