ID|Text
CHANGE_POSTURE|Cambiar postura hacia que lado?\n\nOpciones: %1
CHAT_ALREADY_SCHEDULED|Ya tiene un mensaje a ser entregado!
CHAT_CANCELLED|Mensaje cancelado.
CHAT_MSG_FORM|Mensaje de %1:<br/><br/>%2
CHAT_SENT|Mensaje enviado.
CHAT_TRY_AGAIN|Intentar nuevamente?
CHECK_CHAT_DATE|Su mensaje será entregado el\n%1.\nEstá correcto?
CHOOSE_PASSWORD|%1, por favor elegir una contraseña:
CONFIRM_PASSWORD|Ingresar contraseña nuevamente para continuar:
CONFIRM_SETTINGS|La configuración para %1 ha sido cambiad.\n\nPresione OK para empezar el juego como %2.
CONTACT_MARKER|%1 a %2
CONTACTS_REPORTED|Nuevas detecciones:
DETECTED_MARKER|%1 detectado por %2
EIGHTH|OCTAVO
END_OF_SCENARIO_HEADER|Fin del Escenario
END_OF_SCENARIO_MESSAGE|Vaya a <b>Archivo -> Guardar Como...</b>, gaurde el juego y envie el archivo al otro jugador vía correo electrónico u otro servicio de mensajería.<br/><br/>
END_OF_SCENARIO_SUMMARY|Fin del Escenario (Turno %1)
END_OF_SETUP_HEADER|Fin de la fase de preparación %1
END_OF_TURN_HEADER|Fin de %1 Turno %2
END_OF_TURN_MESSAGE|Vaya a <b>Archivo -> Guardar Como...</b>, gaurde el juego y envie el archivo al otro jugador vía correo electrónico u otro servicio de mensajería.<br/><br/><u>IMPORTANTE:</u> NO <b> cierre esta ventana o continue el juego antes de guardar o tendrá que volver a jugar su turno.  
ENTER_CHAT|Ingresar el mensaje %1 (280 caracteres max):
ENTER_PASSWORD|%1, ingrese su contraseña para empezar el turno %2:
FIFTH|QUINTO
FINAL_ORDER_HEADER|%1 Turno %2<br/><br/>Fase de Ordenes %4
FINAL_ORDER_MESSAGE|Su turno casi a terminado. De las órdenes a sus unidades. Cuando haya terminado <b>empieze el tiempo<b> para finalizar su turno.
FIRST|PRIMERO
FORMAT_INCORRECT|El formato de tiempo está incorrecto. Volver a intentar?
FOURTH|CUARTO
GAME_START|Está empezando un juego de PBEM de %1.\n\nQuiere usar la configuración recomendada?
KILL_LISTING|con %1
KILL_MARKER|%1 destruido
KILLS_REPORTED|Destruidos:
LOSS_LISTING|a %1
LOSS_MARKER|Pérdida de %1
LOSSES_REPORTED|Pérdidas:
MESSAGES_RECEIVED|Mensaje recibido:
MIN_INCORRECT|Los minutos deben ser un número entre 00 y 59. Intentar nuevamente?
NEXT_ORDER_HEADER|%1 Turno %2<br/>(%3 minutos restantes)<br/><br/>Fase de Orden %4
NINTH|NOVENO
NO|No
NO_EDITOR_MODE|No se puede abrir un juego PBEM en el Editor hasta que el juego haya finalizado.\n\nJuege este escenario usando Emepezar Juego Nuevo o Abrir Juego
NO_POSTURE_FOUND|%1 no es una postura?
NO_SIDE_FOUND|%1 no es un lado!
ORDER_PHASE_DIVIDER|%1 de %2.
PASSWORDS_DIDNT_MATCH|Las contraseñas no son iguales. Ingrese su contraseña nuevamente:
POSTURE_IS_SET|Su postura hacia %1 es ahora %2.
RECOMMENDED|Recomendación: %1
RESUME_ORDER_MESSAGE|Ya ha dado sus órdenes para esta fase. <b>Empieze el reloj</b> para continuar ejecutando su órdenes.
SCHEDULE_CHAT|En cuanto tiempo se debe entregar el mensaje?\nFORMAT: hh:mm:ss
SEC_INCORRECT|Los segundos deben ser un número entre 00 y 59. Intentar nuevamente?
SECOND|SEGUNDO
SEND_CHAT|Enviar mensaje a qué lado?\n\nOpciones: %1
SET_POSTURE|Su postura hacia %1 es %2. Cual es su nueva postura?\n\nOciones: AMISTOSO, NEUTRAL, NO AMISTOSO, HOSTIL
SETUP_PHASE_INTRO|Esta es la fase de preparación %1.\n\nMantenga el juego en pausa hasta que hay terminado su preparación y misiones.\n\nCuando haya concluido, hacer click en Play terminara su turno.
SEVENTH|SEPTIMO
SHOW_REMAINING_SETUP|Esta es la fase de preparación.
SHOW_REMAINING_TIME|Tiempo restante en su turno: %1:%2:%3.
SIXTH|SEXTO
SPEC_CHANGEPOST_DESC|Cambios de postura hacia un lado. Útil en caso de que haya atacado a civiles accidentalmente y no quiere mantenerse hóstil hacia ellos.
SPEC_CHANGEPOST_NAME|(PBEM) Cambiar la postura hacia un lado
SPEC_SCHEDMSG_DESC|Enviar un mensaje a otro jugador, a ser entregado en el tiempo que Ud. elije. Ojo que el mensaje solo puede contener 280 caracteres, tags HTML serán removidos y solo se puede progaramar un mensaje a la vez.
SPEC_SCHEDMSG_NAME|(PBEM) Programar mensaje al otro jugador
SPEC_SENDMSG_DESC|Enviar un mensaje a otro jugador para ser entregado al principio del próximo turno. Ojo que el mensaje solo puede contener 280 caracteres, tags HTML serán removidos.
SPEC_SENDMSG_NAME|(PBEM) Enviar mensaje al otro jugador
SPEC_SHOWTIME_DESC|Mostrar el tiempo restante en el turno PBEM.
SPEC_SHOWTIME_NAME|(PBEM) Mostrar tiempo restante en turno
START_OF_TURN_HEADER|%1 Turno %2<br/>(%3 minutos)
START_ORDER_HEADER|%1 Turno %2<br/>(%3 minutos)<br/><br/>Fase de Orden %4
START_ORDER_MESSAGE|Dar órdenes a sus unidades. Cuando haya terminado, <b>empiece el reloj/b> para ejecutárlas.
THIRD|TERCERO
VERSION_MISMATCH|ERROR: Está usando la versión %1 de CMO, pero este juego PBEM fue creado en la versión %2. Todos los jugadores deben usar la misma versión.
